,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
TATASTEEL.NS,0.0,0.0,0.0,1.55,1.1,0.0172
ZEEL.NS,36.3,27.36,1.78,7.1,0.87,0.0051
YESBANK.NS,21.69,14.23,0.7,3.46,1.74,0.0072
WIPRO.NS,15.36,13.74,2.16,2.57,0.63,0.0038
PNB.NS,16.06,5.86,0.41,0.46,2.48,0.036000000000000004
ULTRACEMCO.NS,46.78,22.91,1.2,4.1,1.19,0.0027
TECHM.NS,16.68,14.6,1.91,3.33,0.79,0.0197
TCS.NS,27.01,22.13,2.68,8.15,1.16,0.013999999999999999
ONGC.NS,9.81,7.6,0.51,1.06,0.97,0.0385
SAIL.NS,0.0,21.06,-1.97,1.02,2.21,0.022400000000000003
